fare_amount,trip_distance,hour,date,RatecodeID,payment_type,extra,tolls_amount,PickUDropO
19.5,5.3,8,2017-05-02,1,1,0.0,0.0,274
45.5,14.5,8,2017-05-02,1,1,0.0,11.52,62
5.0,0.63,8,2017-05-02,1,1,0.0,0.0,286
11.0,2.15,8,2017-05-02,1,2,0.0,0.0,127
22.5,4.88,8,2017-05-02,1,1,0.0,0.0,244
9.5,1.1,8,2017-05-02,1,1,0.0,0.0,98
8.5,1.21,8,2017-05-02,1,1,0.0,0.0,148
33.0,11.19,8,2017-05-02,1,1,0.0,5.76,308
7.0,1.15,8,2017-05-02,1,1,0.0,0.0,337
6.5,0.57,8,2017-05-02,1,2,0.0,0.0,301
4.5,0.66,8,2017-05-02,1,2,0.0,0.0,473
5.5,1.1,8,2017-05-02,1,1,0.0,0.0,379
13.0,2.2,8,2017-05-02,1,1,0.0,0.0,400
34.5,10.0,8,2017-05-02,1,1,0.0,0.0,249
8.5,1.2,8,2017-05-02,1,2,0.0,0.0,394
4.5,0.59,8,2017-05-02,1,1,0.0,0.0,264
15.5,2.27,8,2017-05-02,1,2,0.0,0.0,423
12.5,0.5,8,2017-05-02,1,2,0.0,0.0,377
13.5,2.0,8,2017-05-02,1,1,0.0,0.0,303
10.0,0.8,8,2017-05-02,1,2,0.0,0.0,150
13.0,1.4,8,2017-05-02,1,1,0.0,0.0,398
7.5,0.66,8,2017-05-02,1,1,0.0,0.0,474
28.0,2.06,8,2017-05-02,1,2,0.0,0.0,406
9.5,1.1,8,2017-05-02,1,1,0.0,0.0,402
9.5,1.32,8,2017-05-02,1,1,0.0,0.0,260
6.0,0.7,8,2017-05-02,1,1,0.0,0.0,96
4.5,0.6,8,2017-05-02,1,2,0.0,0.0,311
4.0,0.4,8,2017-05-02,1,2,0.0,0.0,98
55.0,10.0,8,2017-05-02,1,1,0.0,5.76,228
9.0,1.4,8,2017-05-02,1,1,0.0,0.0,408
7.0,0.96,8,2017-05-02,1,1,0.0,0.0,334
18.0,3.3,8,2017-05-02,1,1,0.0,0.0,287
12.0,1.7,8,2017-05-02,1,1,0.0,0.0,231
8.5,2.0,8,2017-05-02,1,1,0.0,0.0,167
23.0,7.2,8,2017-05-02,1,1,0.0,5.76,147
14.5,3.07,8,2017-05-02,1,1,0.0,0.0,393
5.5,0.5,8,2017-05-02,1,1,0.0,0.0,462
6.5,1.45,8,2017-05-02,1,1,0.0,0.0,321
11.5,2.3,8,2017-05-02,1,2,0.0,0.0,402
4.5,0.5,8,2017-05-02,1,1,0.0,0.0,347
17.5,4.24,8,2017-05-02,1,1,0.0,0.0,231
6.5,0.7,8,2017-05-02,1,1,0.0,0.0,332
11.0,1.2,8,2017-05-02,1,1,0.0,0.0,323
4.5,0.56,8,2017-05-02,1,1,0.0,0.0,83
8.0,1.29,8,2017-05-02,1,1,0.0,0.0,262
7.0,0.7,8,2017-05-02,1,1,0.0,0.0,276
9.0,1.0,8,2017-05-02,1,1,0.0,0.0,398
9.5,2.32,8,2017-05-02,1,1,0.0,0.0,477
14.0,2.67,8,2017-05-02,1,1,0.0,0.0,372
5.5,0.28,8,2017-05-02,1,1,0.0,0.0,466
11.0,1.25,8,2017-05-02,1,1,0.0,0.0,356
14.5,3.37,8,2017-05-02,1,1,0.0,0.0,333
13.5,2.0,8,2017-05-02,1,1,0.0,0.0,305
4.5,0.6,8,2017-05-02,1,1,0.0,0.0,324
10.0,0.79,8,2017-05-02,1,2,0.0,0.0,390
4.0,0.31,8,2017-05-02,1,1,0.0,0.0,186
12.0,1.67,8,2017-05-02,1,1,0.0,0.0,416
10.5,2.5,8,2017-05-02,1,2,0.0,0.0,477
7.0,1.0,8,2017-05-02,1,1,0.0,0.0,476
10.0,1.95,8,2017-05-02,1,2,0.0,0.0,226
17.0,1.98,8,2017-05-02,1,1,0.0,0.0,301
2.5,0.0,8,2017-05-02,1,2,0.0,0.0,280
20.5,4.47,8,2017-05-02,1,1,0.0,0.0,320
9.5,2.0,8,2017-05-02,1,1,0.0,0.0,174
17.5,2.74,8,2017-05-02,1,1,0.0,0.0,400
4.0,0.53,8,2017-05-02,1,1,0.0,0.0,26
5.0,0.63,8,2017-05-02,1,1,0.0,0.0,474
9.5,0.9,8,2017-05-02,1,1,0.0,0.0,183
5.5,0.84,8,2017-05-02,1,1,0.0,0.0,382
33.5,5.35,8,2017-05-02,1,1,0.0,0.0,301
18.5,3.3,8,2017-05-02,1,2,0.0,0.0,219
9.5,0.79,8,2017-05-02,1,1,0.0,0.0,462
6.5,0.69,8,2017-05-02,1,1,0.0,0.0,276
7.5,0.89,8,2017-05-02,1,2,0.0,0.0,209
8.5,1.39,8,2017-05-02,1,1,0.0,0.0,344
20.0,3.65,8,2017-05-02,1,1,0.0,0.0,251
16.5,2.81,8,2017-05-02,1,2,0.0,0.0,423
6.5,0.78,8,2017-05-02,1,2,0.0,0.0,244
4.5,0.69,8,2017-05-02,1,2,0.0,0.0,391
15.0,1.93,8,2017-05-02,1,1,0.0,0.0,303
5.0,0.5,8,2017-05-02,1,2,0.0,0.0,280
7.0,1.4,8,2017-05-02,1,2,0.0,0.0,458
16.0,3.6,8,2017-05-02,1,1,0.0,0.0,281
9.5,0.65,8,2017-05-02,1,1,0.0,0.0,213
22.0,5.3,8,2017-05-02,1,2,0.0,0.0,321
9.5,1.0,8,2017-05-02,1,1,0.0,0.0,229
7.5,1.1,8,2017-05-02,1,2,0.0,0.0,344
8.5,1.3,8,2017-05-02,1,1,0.0,0.0,215
14.0,2.32,8,2017-05-02,1,1,0.0,0.0,476
4.5,0.64,8,2017-05-02,1,1,0.0,0.0,317
11.0,2.27,8,2017-05-02,1,2,0.0,0.0,405
5.5,0.8,8,2017-05-02,1,1,0.0,0.0,248
7.0,1.12,8,2017-05-02,1,1,0.0,0.0,99
11.5,2.3,8,2017-05-02,1,1,0.0,0.0,314
13.5,1.77,8,2017-05-02,1,2,0.0,0.0,397
12.5,1.5,8,2017-05-02,1,2,0.0,0.0,376
6.5,0.9,8,2017-05-02,1,1,0.0,0.0,402
52.0,17.01,8,2017-05-02,2,1,0.0,5.76,245
6.5,1.12,8,2017-05-02,1,1,0.0,0.0,148
9.0,1.34,8,2017-05-02,1,1,0.0,0.0,475
10.5,2.05,8,2017-05-02,1,1,0.0,0.0,378
7.0,1.21,8,2017-05-02,1,1,0.0,0.0,420
5.5,0.84,8,2017-05-02,1,1,0.0,0.0,460
7.5,1.3,8,2017-05-02,1,1,0.0,0.0,98
8.5,0.3,8,2017-05-02,1,2,0.0,0.0,340
4.0,0.5,8,2017-05-02,1,1,0.0,0.0,420
20.0,2.67,8,2017-05-02,1,1,0.0,0.0,277
19.0,1.84,8,2017-05-02,1,1,0.0,0.0,470
6.5,0.41,8,2017-05-02,1,1,0.0,0.0,324
10.0,1.29,8,2017-05-02,1,1,0.0,0.0,392
17.0,3.18,8,2017-05-02,1,1,0.0,0.0,423
12.5,2.58,8,2017-05-02,1,1,0.0,0.0,299
12.0,1.3,8,2017-05-02,1,1,0.0,0.0,399
21.0,4.6,8,2017-05-02,1,1,0.0,0.0,174
11.0,1.97,8,2017-05-02,1,1,0.0,0.0,229
10.5,1.07,8,2017-05-02,1,2,0.0,0.0,324
6.0,0.83,8,2017-05-02,1,2,0.0,0.0,277
5.0,0.75,8,2017-05-02,1,1,0.0,0.0,244
6.0,0.7,8,2017-05-02,1,1,0.0,0.0,270
5.0,0.7,8,2017-05-02,1,1,0.0,0.0,478
6.5,0.7,8,2017-05-02,1,2,0.0,0.0,211
14.5,2.55,8,2017-05-02,1,2,0.0,0.0,344
4.5,0.3,8,2017-05-02,1,2,0.0,0.0,190
8.5,1.3,8,2017-05-02,1,2,0.0,0.0,168
5.0,0.6,8,2017-05-02,1,1,0.0,0.0,244
4.5,0.3,8,2017-05-02,1,2,0.0,0.0,473
10.5,1.37,8,2017-05-02,1,2,0.0,0.0,310
3.0,0.0,8,2017-05-02,1,2,0.0,0.0,386
6.0,0.3,8,2017-05-02,1,2,0.0,0.0,322
8.0,0.44,8,2017-05-02,1,1,0.0,0.0,476
12.0,1.61,8,2017-05-02,1,2,0.0,0.0,207
10.5,1.7,8,2017-05-02,1,1,0.0,0.0,234
23.5,5.8,8,2017-05-02,1,1,0.0,0.0,258
8.5,1.3,8,2017-05-02,1,2,0.0,0.0,230
10.0,0.9,8,2017-05-02,1,1,0.0,0.0,209
9.0,1.0,8,2017-05-02,1,2,0.0,0.0,280
10.5,1.16,8,2017-05-02,1,1,0.0,0.0,416
19.0,3.9,8,2017-05-02,1,2,0.0,0.0,465
16.0,2.25,8,2017-05-02,1,2,0.0,0.0,396
11.0,1.4,8,2017-05-02,1,1,0.0,0.0,211
5.0,0.6,8,2017-05-02,1,1,0.0,0.0,350
6.5,1.37,8,2017-05-02,1,1,0.0,0.0,279
10.0,1.3,8,2017-05-02,1,1,0.0,0.0,213
6.5,0.56,8,2017-05-02,1,2,0.0,0.0,398
22.0,6.5,8,2017-05-02,1,1,0.0,0.0,464
11.5,1.81,8,2017-05-02,1,1,0.0,0.0,347
23.5,6.79,8,2017-05-02,1,1,0.0,0.0,212
20.0,4.44,8,2017-05-02,1,1,0.0,0.0,254
12.0,1.4,8,2017-05-02,1,2,0.0,0.0,279
6.0,0.8,8,2017-05-02,1,2,0.0,0.0,432
5.5,0.7,8,2017-05-02,1,1,0.0,0.0,407
14.0,2.4,8,2017-05-02,1,2,0.0,0.0,301
15.0,2.51,8,2017-05-02,1,1,0.0,0.0,495
6.0,0.66,8,2017-05-02,1,1,0.0,0.0,391
